Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,X
6/6/2021,6:40:42 PM,1,1,Bryant,1000105859,Right,VER_MOU,Gavello,1000016558,Left,NOR_ADA,Windup,1,Top,0,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.5320584919323,-1.79018048901647,-0.682791978616145,1962.72023402733,208.519601317527,1:00,5.69026115829884,-0.055063060066753,6.5371928803563,-21.0866858136253,15.8771520715227,8.6465099132003,2.29062710364797,0.0392671235709172,78.6738303531983,-5.77935809358514,0.960945083793623,0.437582602384619,0,0,0,0,0,0,0,0,0,0,0,-4.95240041145322,9.23762333932194,0.0985007687724962,50,5.55719568177036,1.24647158904765,-124.609650133405,-4.47672348655693,-7.81454408793761,24.204045052247402,-17.5977201388116,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,3a3fa525-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:40:56 PM,1,2,Bryant,1000105859,Right,VER_MOU,Gavello,1000016558,Left,NOR_ADA,Windup,1,Top,0,0,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,86.619923767682,-2.05807702999905,0.20684982850852,1993.11427495407,199.680620363344,12:45,5.82435849339144,-0.066704813507102,6.55879662811167,-16.0586954277412,20.1000509486487,7.20135073245444,2.59864094812272,0.723030780216264,79.2728804995865,-5.10430697663833,1.5790436105044099,0.432790980033648,90.7051880159568,4.28133455099262,31.2432075408531,3580.17494365448,0,0,0,75.5979553409288,74.4920430411351,32.5812496744672,0.620231323242188,-3.92163268284808,11.6852573020963,0.0493725190912693,50,5.67582549341643,-0.654959791372082,-126.154160706633,-4.97837381707425,-6.31435093229826,25.8737686965561,-13.3592279684781,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,4303e9ad-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:41:30 PM,2,1,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.4899229986217,-2.06335809803451,-0.764417078028777,2027.40057901227,202.513069252757,12:45,5.72170460872485,-0.347630563830846,6.68722895746962,-17.8124762628462,18.133020268289,7.5297973347313,2.34946260194928,-0.419227554366135,79.5141577123316,-5.44324120201594,0.670922387530001,0.43151287863679,0,0,0,0,0,0,0,0,0,0,0,-4.38078300354051,10.6094349143296,0.395427217655873,50,5.577097686681,1.47801855258195,-126.012429866166,-5.02127369404786,-7.0697223869063,24.7302927641169,-15.0525067074864,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,565a8a33-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:41:45 PM,2,2,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,0,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,71.7726639719381,2.18861048589262,-1.52341347660716,2139.36843051948,19.814337155405,6:45,5.71926018024998,-0.206239381012809,5.99260605383799,-65.9647288103336,-11.8930899293102,-4.26682020117871,2.25186203958727,-1.97372968680918,66.1870284684658,-10.1597419893199,-2.32886552308785,0.529244416401985,0,0,0,0,0,0,0,0,0,0,0,1.86914975560708,-7.08135916901431,0.328444299243302,50,5.85523390409783,2.88481474000167,-104.36581459889,2.3014038768366,2.05247657046378,18.2890221564705,-39.9499497317326,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,5c6d607a-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:41:57 PM,2,3,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,86.1533912292517,-1.35296314197872,0.0397239847706485,1941.67115279468,190.286804919105,12:15,5.91065179291326,-0.235212214388839,6.4464127576715,-14.5375596193457,22.1810317432955,4.03196572813124,3.45602257873009,0.137278400227405,78.6578732042033,-4.11227324939455,0.806966202397217,0.436128556833187,66.0504457606706,49.5673357784882,141.946157867406,5042.13802857182,0,0,0,0,0,0,0,-2.20833217553215,12.5939050291368,0.230571896212156,50,5.80833027181568,-0.20072933614276,-125.49148727007,-3.37390666353119,-3.51503168024802,25.8331909509784,-12.1281625045355,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,632f63ea-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:42:13 PM,2,4,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,1,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,73.625018320124,-0.726296612705402,-2.09552437730903,2421.8803909201,9.50113989330361,6:15,5.62808710869807,-0.0216190485525248,6.06539679919857,-69.9721083632789,-18.7018414171379,-3.12192960408628,-0.875468689799307,-2.22168769614631,68.7430224080724,-13.6951520063549,-2.68568954266808,0.515352405679188,0,0,0,0,0,0,0,0,0,0,0,1.07853714081581,-9.94990378061058,0.185523534002502,50,5.53449045210106,3.99952890378349,-107.097856555252,-3.16969237459703,1.24533248873058,19.507930509139,-43.66270107364,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,706d50b8-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:42:29 PM,2,5,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,2,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.1602714802949,0.360774747633071,-0.468689353417842,1987.70906988631,197.02267426815,12:30,5.84370868130757,-0.215709449169974,6.62192070452955,-16.7819742035017,19.4525778639298,5.96609919701535,4.77555616856584,-0.147681984716302,79.0662652864231,-2.83059035854661,0.666714461525146,0.433244408945824,0,0,0,0,0,0,0,0,0,0,0,-3.42448423247792,10.6655541721858,0.244919164270641,50,5.86106760714425,0.864516303426293,-125.612431554938,0.332373951609459,-5.49667538239146,24.3445522044633,-15.0546562398258,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,77b85c41-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:42:46 PM,2,6,Bryant,1000105859,Right,VER_MOU,Alexy,1000105840,Right,NOR_ADA,Windup,1,Top,1,3,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.7103479100172,-0.99095343528358,-1.27952033077686,2004.76492147497,206.98949194351,1:00,5.85933072536482,-0.35481894423255,6.69283879256784,-20.0835830264009,15.8200846435377,8.07427392239713,3.2792795018602,-0.852118570724387,79.2602598453814,-4.8189339388654,0.263704270219797,0.431261735265618,0,0,0,0,0,0,0,0,0,0,0,-4.84724394470634,9.06799093605354,0.436575198401572,50,5.78535481062108,2.60450979601973,-126.338265010663,-2.7263995375776,-7.82016088883349,26.1748769763359,-17.5444675270155,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,83156358-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:43:21 PM,3,1,Bryant,1000105859,Right,VER_MOU,Middleton,1000079685,Right,NOR_ADA,Windup,1,Top,2,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.364125886662407,-2.57129524616929,-0.675283298423109,1959.7738603358,198.214950858382,12:30,5.80142922437635,-0.323100575802537,6.58444412718465,-16.0320538373025,20.1889151879981,6.65482251415123,2.10768576998411,-0.387300303542072,79.3816707094994,-5.60538763483316,0.590885201357099,0.433163197390477,0,0,0,0,0,0,0,0,0,0,0,-3.85773090063048,11.8435355669663,0.366396625795587,50.0000000000001,5.61875088385322,1.29889578048672,-125.766794684044,-6.0902391685951,-6.2015529483851,24.6269698424707,-13.1347959992809,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,94f81d69-c718-11eb-ab55-b0c090169262,0
6/6/2021,6:43:40 PM,3,2,Bryant,1000105859,Right,VER_MOU,Middleton,1000079685,Right,NOR_ADA,Windup,1,Top,2,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,70.5800185500066,4.72732648867012,-1.10293255888968,2266.2872489641,25.2014087664249,6:45,5.72307690736882,-0.0361886075117131,5.59828393567276,-70.3539984021563,-13.5454026308779,-6.3492536946298,4.28396161775987,-1.59498407113117,64.8599056661684,-8.36374542056384,-2.29034625763621,0.542473522316037,0,0,0,0,0,0,0,0,0,0,0,3.08356452516584,-8.5359232194504,0.134635427226588,50,6.08311306783634,2.14190317207553,-102.345468493582,6.56437937287617,3.27281730487844,16.7845096940742,-41.2338613145982,VER_MOU,NOR_ADA,MontpelierRecreation,Undefined,NECL,20210606-MontpelierRecreation-1,a4255fd7-c718-11eb-ab55-b0c090169262,0
